port_name,postcode
Aabenraa,6200
Aalborg,9000
Aalborg,9000
Århus,8000
Aarhus,8000
Asnæs,4550
Asnæsværkets,4550
Avedøreværkets,4550
Ebeltoft,8400
Ensted,6200
Enstedværkets,6200
Esbjerg,6700
Fredericia,7000
Frederikshavn,9900
Frederiskværk,3300
Gedser,4874
Grenå,8500
Grenaa,8500
Gulfhavnen,4230
Helsingør,3000
Hirtshals,9850
Kalundborg,4400
Københavns,2150
Køge,4600
Kolding,6000
Korsør,4220
Nordjyllandsværkets,9000
Nyborg,5800
Odense,5000
Randers,8900
Rødby,4970
Rønne,3700
Sjællands-Odde,4583
Stålvalseværkets,3300
Staalvalseværkets,3300
Statoil-Havnen,4400
Stigsnæs,4230
Stigsnaes,4230
Stigsnæsværkets,4230
Studstrupværkets,8541
Thyborøn,7680
Vejle,7100
