rep_mar,port_name
DK_0DKAAB,Aabenraa
DK_0DKAAL,Aalborg
DK_0DKROR,Aalborg_Portland_(Cementfabrikken_Rordal)
DK_0DKAAR,Århus
DK_0DKAIT,Asnæs_Inter_Terminal
DK_0DKASV,Asnæsværkets_Havn
DK_0DKAVE,Avedøreværkets_Havn
DK_0DKEBT,Ebeltoft
DK_0DKEIT,Ensted_Inter_Terminal
DK_0DKENS,Enstedværkets_Havn
DK_0DKEBJ,Esbjerg
DK_0DKFRC,Fredericia_(Og_Shell-Havnen)
DK_0DKFDH,Frederikshavn
DK_0DKSVV,Frederiskværk_Havn_(Frederiksværk_Stålvalseværk)
DK_0DKGED,Gedser
DK_0DKGRE,Grenå
DK_0DKGFH,Gulfhavnen
DK_0DKHLS,Helsingør_(Elsinore)
DK_0DKHIR,Hirtshals
DK_0DKKAL,Kalundborg
DK_0DKCPH,Københavns_Havn
DK_0DKKOG,Køge
DK_0DKKOL,Kolding
DK_0DKKRR,Korsør
DK_0DKVSV,Nordjyllandsværkets_Havn
DK_0DKNBG,Nyborg
DK_0DKODE,Odense
DK_0DKRAN,Randers
DK_0DKROF,Rødby_(Færgehavn)
DK_0DKRNN,Rønne
DK_0DKSJO,Sjællands_Odde
DK_0DKSTT,Statoil-Havnen
DK_0DKSIT,Stigsnaes_Inter_Terminal
DK_0DKSTG,Stigsnæsværkets_Havn
DK_0DKSSV,Studstrupværkets_Havn
DK_0DKTYB,Thyborøn
DK_0DKVEJ,Vejle
