parameter,rs,lng,lbg,lng_mp,lbg_mp,h2,ch3oh,ch3oh_mp,nh3,batwind,tdvar,snox,bau,bdo,imo,ch4leak
eb_kt,19120,0,0,0,0,0,0,0,0,0,0,1000000000000,1000000000000,0,1000000000000,0
et,0.001,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0.602,0
et_yr,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ep_yr,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sl_eca,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sl_noneca,0.005,0,0,0,0,0,0,0,0,0,0,-0.004,0,0,0,0
sl_noneca_yr,2020,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0
tl_eca,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tl_eca_yr,2021,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0
ba_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba_last,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
td_change,0,0,0,0,0,0,0,0,0,0,-0.32,0,0,0,0,0
