parameter,ship,rs,lng,lbg,lng_mp,lbg_mp,h2,ch3oh,nh3,batwind,tdvar,snox,bau,bdo,imo,rs_mp
cs,ic_hfo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_mdo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_hfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_mdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_hfo_rf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_bdo_rf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_bdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs,ic_lng,-0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
cs,ic_lbg,-0.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cs,ic_h2,-0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cs,ic_ch3oh,-0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cs,ic_nh3,-0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cs,fc_lng,-0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
cs,fc_lbg,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cs,fc_h2,-0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cs,fc_ch3oh,-0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cs,fc_nh3,-0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cs,em_elec,-0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cs,wind_elec,-0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ts,ic_hfo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_mdo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_hfo,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_mdo,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_hfo_rf,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_bdo_rf,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_bdo,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_lng,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_lbg,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_h2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_ch3oh,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,ic_nh3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,fc_lng,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,fc_lbg,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,fc_h2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,fc_ch3oh,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,fc_nh3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,em_elec,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ts,wind_elec,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_hfo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_mdo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_hfo,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_mdo,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_hfo_rf,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_bdo_rf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_bdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_lng,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_lbg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_ch3oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,ic_nh3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,fc_lng,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,fc_lbg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,fc_h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,fc_ch3oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,fc_nh3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,em_elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-co2-w2p,wind_elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,ic_hfo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,ic_mdo_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,ic_hfo,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_mdo,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_hfo_rf,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_bdo_rf,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_bdo,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_lng,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_lbg,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,ic_h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,ic_ch3oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,ic_nh3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,fc_lng,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,fc_lbg,-0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ef-ch4-w2p,fc_h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,fc_ch3oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,fc_nh3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,em_elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef-ch4-w2p,wind_elec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
